GEO (Labels);Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Denmark;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Finland;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Sweden;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;;Norway;
MOT_NRG (Labels);Total;;Petroleum products;;Liquefied petroleum gases (LPG);;Diesel;;Natural gas;;Electricity;;Alternative energy;;Petrol (excluding hybrids)  ;;Hybrid electric-petrol;;Plug-in hybrid petrol-electric  ;;Diesel (excluding hybrids)  ;;Hybrid diesel-electric;;Plug-in hybrid diesel-electric  ;;Hydrogen and fuel cells ;;Bioethanol;;Biodiesel;;Bi-fuel;;Other;;Total;;Petroleum products;;Liquefied petroleum gases (LPG);;Diesel;;Natural gas;;Electricity;;Alternative energy;;Petrol (excluding hybrids)  ;;Hybrid electric-petrol;;Plug-in hybrid petrol-electric  ;;Diesel (excluding hybrids)  ;;Hybrid diesel-electric;;Plug-in hybrid diesel-electric  ;;Hydrogen and fuel cells ;;Bioethanol;;Biodiesel;;Bi-fuel;;Other;;Total;;Petroleum products;;Liquefied petroleum gases (LPG);;Diesel;;Natural gas;;Electricity;;Alternative energy;;Petrol (excluding hybrids)  ;;Hybrid electric-petrol;;Plug-in hybrid petrol-electric  ;;Diesel (excluding hybrids)  ;;Hybrid diesel-electric;;Plug-in hybrid diesel-electric  ;;Hydrogen and fuel cells ;;Bioethanol;;Biodiesel;;Bi-fuel;;Other;;Total;;Petroleum products;;Liquefied petroleum gases (LPG);;Diesel;;Natural gas;;Electricity;;Alternative energy;;Petrol (excluding hybrids)  ;;Hybrid electric-petrol;;Plug-in hybrid petrol-electric  ;;Diesel (excluding hybrids)  ;;Hybrid diesel-electric;;Plug-in hybrid diesel-electric  ;;Hydrogen and fuel cells ;;Bioethanol;;Biodiesel;;Bi-fuel;;Other;
TIME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;186 592;;134 993;;0;;26 648;;0;;24 876;;24 951;;87 137;i;8 539;i;39 317;;23 904;i;1 616;i;1 128;;75;;0;;0;;0;;0;;98 485;;76 158;;0;;11 252;;909;;10 153;;11 075;;30 760;;25 874;;19 524;;8 397;;2 235;;620;;1;;12;;0;;0;;0;;303 906;;189 502;;0;;53 988;;1 484;;57 590;;60 416;;68 405;;47 249;;73 848;;27 184;;22 825;;3 979;;16;;7;;0;;54;;1 265;;182 618;;54 209;;0;;11 972;;0;;116 399;;116 436;;3 760;;13 646;;36 803;;9 576;;815;;1 581;;36;;0;;0;;0;;1;
2022;149 285;;101 039;;0;;17 441;;0;;30 799;;30 805;;52 655;i;22 790;i;25 594;;10 104;i;6 488;i;849;;6;;0;;0;;0;;0;;81 700;;59 099;;0;;7 447;;595;;14 531;;15 153;;19 246;;24 083;;15 770;;5 420;;1 626;;401;;0;;27;;0;;0;;0;;289 779;;153 387;;0;;36 432;;1 879;;95 371;;99 960;;46 962;;42 514;;63 911;;18 379;;15 433;;2 620;;2;;5;;0;;24;;2 679;;180 864;;30 186;;0;;8 148;;0;;142 504;;142 531;;2 284;;12 261;;15 641;;6 968;;645;;535;;27;;0;;0;;0;;0;
2023;173 374;;95 539;;0;;15 258;;0;;62 576;;62 577;;54 357;i;24 237;i;16 945;;8 132;i;6 855;i;273;;1;;0;;0;;0;;0;;87 509;;52 225;;0;;5 277;;453;;29 537;;30 007;;15 261;i;19 097;i;17 867;;3 890;i;1 167;i;220;;0;;17;;0;;0;;0;;290 768;;146 412;;0;;25 820;;2 004;;112 321;;118 536;;60 582;;26 466;b;59 364;;24 115;;0;b;1 705;;2;;4 191;b;0;;18;;0;b;128 731;;19 066;;0;;4 936;;0;;104 727;;104 729;;818;;8 274;;9 974;;4 477;;459;;200;;2;;0;;0;;:;m;0;
2024;173 461;;72 095;;0;;12 308;;0;;89 058;;89 058;;39 506;i;25 631;i;6 958;;7 048;i;5 150;i;110;;0;;0;;0;;0;;0;;74 075;;48 039;;0;;4 008;;114;;21 870;;22 027;;11 258;;22 114;;14 667;;3 401;;411;;196;;0;;43;;0;;0;;0;;270 744;;147 825;;0;;23 290;;1 083;;94 546;;99 629;;62 677;;25 414;;59 734;;19 917;;0;;3 373;;7;;3 981;;:;;12;;0;;130 653;;11 353;;0;;4 477;;0;;114 814;;114 823;;346;;7 530;;3 477;;4 286;;191;;20;;9;;0;;0;;0;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Observation flags:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i;value imputed by Eurostat or other receiving agencies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;"missing value; data cannot exist";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
